latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
45.343,121.99,309.6,1,1,2018-10-20,0250,T,65,6.0NRT,296.3,5.6,D
45.301,121.761,310.2,1,1,2018-10-20,0250,T,57,6.0NRT,297.9,6.2,D
45.299,121.773,308.9,1,1,2018-10-20,0250,T,55,6.0NRT,297.4,5.2,D
43.999,123.85,312.5,1,1,2018-10-20,0250,T,35,6.0NRT,292,8.6,D
43.988,123.86,327.4,1,1,2018-10-20,0250,T,80,6.0NRT,292.7,23.7,D
43.978,123.811,306.3,1,1,2018-10-20,0250,T,61,6.0NRT,291.8,5.5,D
43.976,123.824,314.6,1,1,2018-10-20,0250,T,74,6.0NRT,291.2,11.8,D
43.624,121.796,306.3,1,1,2018-10-20,0250,T,53,6.0NRT,295.4,3.8,D
43.207,123.57,305.1,1,1,2018-10-20,0250,T,57,6.0NRT,292.5,4.5,D
43.391,121.684,312.4,1,1,2018-10-20,0250,T,69,6.0NRT,294.9,8.5,D
42.873,123.28,310,1,1,2018-10-20,0250,T,67,6.0NRT,293,7.8,D
42.476,124.005,306.1,1.1,1,2018-10-20,0250,T,63,6.0NRT,292.9,5.8,D
42.398,124.256,302.4,1.1,1,2018-10-20,0250,T,52,6.0NRT,290.6,5.1,D
42.41,124.126,306.7,1.1,1,2018-10-20,0250,T,64,6.0NRT,292.2,7.1,D
42.291,123.721,308.4,1.1,1,2018-10-20,0250,T,67,6.0NRT,292.7,7.5,D
42.289,123.733,306.6,1.1,1,2018-10-20,0250,T,64,6.0NRT,291.9,6.4,D
42.626,119.636,307.3,1.1,1,2018-10-20,0250,T,62,6.0NRT,291,6.4,D
42.013,123.83,305.3,1.1,1,2018-10-20,0250,T,61,6.0NRT,292.5,5.7,D
42.148,122.515,306.2,1,1,2018-10-20,0250,T,59,6.0NRT,294,4.2,D
42.146,122.527,306.5,1,1,2018-10-20,0250,T,60,6.0NRT,293.9,4.4,D
41.912,123.821,304,1.1,1,2018-10-20,0250,T,58,6.0NRT,291.9,5.3,D
41.84,123.754,305,1.1,1,2018-10-20,0250,T,60,6.0NRT,292.3,5.4,D
42.394,119.213,305,1.1,1.1,2018-10-20,0250,T,48,6.0NRT,292.3,4.4,D
41.941,119.884,305.6,1.1,1,2018-10-20,0250,T,60,6.0NRT,293.1,4.7,D
41.994,119.169,304.7,1.1,1,2018-10-20,0250,T,56,6.0NRT,291.4,4.8,D
41.462,122.871,304.4,1,1,2018-10-20,0250,T,41,6.0NRT,292.9,3.8,D
41.444,122.337,306.4,1,1,2018-10-20,0250,T,59,6.0NRT,295.2,3.6,D
41.174,123.996,314.8,1.1,1,2018-10-20,0250,T,75,6.0NRT,288.4,15.4,D
41.172,124.009,303.2,1.1,1,2018-10-20,0250,T,55,6.0NRT,289.9,6.1,D
41.22,123.622,303.9,1.1,1,2018-10-20,0250,T,55,6.0NRT,293.9,5.7,D
41.163,122.996,307.6,1,1,2018-10-20,0250,T,61,6.0NRT,295.3,4.7,D
41.136,122.995,306.6,1,1,2018-10-20,0250,T,46,6.0NRT,295.6,4.8,D
41.046,122.688,333.6,1,1,2018-10-20,0250,T,88,6.0NRT,297,31.8,D
41.044,122.7,305.3,1,1,2018-10-20,0250,T,50,6.0NRT,294.2,3.3,D
41.037,122.686,306.1,1,1,2018-10-20,0250,T,46,6.0NRT,295.3,3.8,D
41.039,122.612,319.6,1,1,2018-10-20,0250,T,79,6.0NRT,295,15.3,D
40.698,122.421,309.3,1,1,2018-10-20,0250,T,68,6.0NRT,290,9,D
40.696,122.433,302.9,1,1,2018-10-20,0250,T,52,6.0NRT,290.3,4.9,D
40.662,122.417,303.5,1,1,2018-10-20,0250,T,44,6.0NRT,293.2,4.4,D
40.541,122.416,306.2,1,1,2018-10-20,0250,T,45,6.0NRT,294.7,4.9,D
36.983,126.707,307.6,1.8,1.3,2018-10-20,0250,T,50,6.0NRT,296.1,15,D
37.413,122.029,314.5,1.1,1,2018-10-20,0250,T,75,6.0NRT,292.5,11.4,D
37.411,122.041,325,1.1,1,2018-10-20,0250,T,83,6.0NRT,293.1,21.9,D
29.64,129.718,310.2,1.1,1,2018-10-20,0425,A,32,6.0NRT,293.4,9.1,D
58.452,107.603,310.2,1.1,1,2018-10-20,0425,T,70,6.0NRT,270,16.7,D
58.429,107.568,300.3,1.1,1,2018-10-20,0425,T,35,6.0NRT,268,9.7,D
58.425,107.586,319.3,1.1,1,2018-10-20,0425,T,79,6.0NRT,268.6,24.9,D
58.42,107.446,324.8,1.1,1,2018-10-20,0425,T,83,6.0NRT,270,30.2,D
59.116,102.905,340.4,1,1,2018-10-20,0425,T,92,6.0NRT,271.4,51.1,D
59.113,102.923,301.6,1,1,2018-10-20,0425,T,48,6.0NRT,270,9.8,D
58.137,107.109,308.3,1.1,1,2018-10-20,0425,T,67,6.0NRT,269.5,15.1,D
57.988,106.814,313.7,1.1,1,2018-10-20,0425,T,0,6.0NRT,266.9,17.9,D
57.065,107.65,339.7,1.1,1.1,2018-10-20,0425,T,0,6.0NRT,266.7,58.6,D
51.246,115.498,316,3.5,1.8,2018-10-20,0425,T,71,6.0NRT,284.9,91.8,D
51.253,115.495,307.6,3.5,1.8,2018-10-20,0425,T,62,6.0NRT,284.1,58.3,D
51.239,115.543,302,3.5,1.8,2018-10-20,0425,T,44,6.0NRT,284,38,D
50.49,117.052,327.9,4.4,1.9,2018-10-20,0425,T,85,6.0NRT,284.1,222.6,D
50.492,116.985,342.4,4.3,1.9,2018-10-20,0425,T,87,6.0NRT,285.2,384.9,D
50.475,117.04,362.3,4.4,1.9,2018-10-20,0425,T,100,6.0NRT,287.5,774.2,D
50.489,117.046,332.6,4.4,1.9,2018-10-20,0425,T,88,6.0NRT,284.5,272.1,D
50.49,116.979,329,4.3,1.9,2018-10-20,0425,T,38,6.0NRT,284.6,214,D
50.473,117.034,360.6,4.4,1.9,2018-10-20,0425,T,100,6.0NRT,287.6,731.4,D
50.458,117.022,325,4.4,1.9,2018-10-20,0425,T,28,6.0NRT,285.8,176.8,D
50.426,116.999,338.3,4.4,1.9,2018-10-20,0425,T,61,6.0NRT,287.4,315.6,D
50.428,116.933,315.1,4.3,1.9,2018-10-20,0425,T,52,6.0NRT,284.5,107.7,D
50.411,116.987,321.3,4.4,1.9,2018-10-20,0425,T,76,6.0NRT,286.8,153.4,D
50.413,116.92,336.4,4.3,1.9,2018-10-20,0425,T,82,6.0NRT,286.1,299.6,D
50.395,116.976,336.6,4.4,1.9,2018-10-20,0425,T,82,6.0NRT,288.4,302.6,D
50.456,117.014,328.8,4.4,1.9,2018-10-20,0425,T,35,6.0NRT,286.1,212.1,D
50.425,116.99,328.1,4.4,1.9,2018-10-20,0425,T,28,6.0NRT,286.9,202.8,D
50.41,116.978,327.8,4.4,1.9,2018-10-20,0425,T,74,6.0NRT,287.2,209.5,D
50.411,116.911,327.7,4.3,1.9,2018-10-20,0425,T,44,6.0NRT,285.6,198.6,D
50.394,116.967,341,4.4,1.9,2018-10-20,0425,T,82,6.0NRT,288.7,361.5,D
50.38,116.887,318.9,4.3,1.9,2018-10-20,0425,T,59,6.0NRT,285.8,128.7,D
50.708,115.753,323.3,3.8,1.8,2018-10-20,0425,T,82,6.0NRT,287.1,144.2,D
50.349,116.862,349.9,4.3,1.9,2018-10-20,0425,T,79,6.0NRT,288,476.2,D
50.35,116.798,321.1,4.3,1.9,2018-10-20,0425,T,40,6.0NRT,286.8,138.5,D
50.716,115.755,324,3.8,1.8,2018-10-20,0425,T,75,6.0NRT,287.3,145.7,D
50.701,115.743,313.4,3.8,1.8,2018-10-20,0425,T,49,6.0NRT,286.4,80.3,D
50.363,116.87,339.2,4.3,1.9,2018-10-20,0425,T,62,6.0NRT,287.7,318.2,D
50.348,116.856,339.2,4.3,1.9,2018-10-20,0425,T,72,6.0NRT,287.3,321.2,D
50.348,116.792,318.3,4.3,1.9,2018-10-20,0425,T,36,6.0NRT,286.8,119.6,D
50.15,113.447,313,3.1,1.7,2018-10-20,0425,T,73,6.0NRT,285.7,61.5,D
50.151,113.442,311.3,3.1,1.7,2018-10-20,0425,T,71,6.0NRT,285.7,58.6,D
